,Packets Loss,Throughput ,Delay,output
417,100.0,0.589,155.32,0.6
418,100.0,0.447,155.32,0.6
419,100.0,0.379,155.32,0.5
420,100.0,0.233,155.32,0.5
421,100.0,0.222,155.32,0.5
423,100.0,0.222,155.32,0.5
424,100.0,0.447,155.32,0.6
425,100.0,0.447,155.32,0.6
426,100.0,0.355,155.32,0.5
427,100.0,0.439,155.32,0.6
428,100.0,0.023,155.32,0.4
429,100.0,0.539,201.39,0.7
430,100.0,0.738,128.53,0.6
431,100.0,0.28,155.32,0.5
432,100.0,0.198,155.32,0.5
433,100.0,0.447,155.32,0.6
434,100.0,0.205,155.32,0.5
436,100.0,0.213,155.32,0.5
437,100.0,0.222,155.32,0.5
438,100.0,0.634,132.35,0.6
440,100.0,0.589,155.32,0.6
442,100.0,0.201,140.0,0.4
443,100.0,0.288,201.39,0.6
444,100.0,0.636,128.53,0.6
446,100.0,0.252,140.0,0.4
447,100.0,0.12,220.3,0.6
449,100.0,0.576,132.35,0.6
451,100.0,0.273,166.83,0.5
452,100.0,0.265,140.0,0.5
454,100.0,0.437,166.83,0.6
455,100.0,0.53,140.0,0.6
456,100.0,0.671,140.0,0.6
457,100.0,0.707,166.83,0.7
458,100.0,0.252,140.0,0.4
459,100.0,0.261,166.83,0.5
460,100.0,0.121,184.03,0.5
461,100.0,0.829,166.83,0.8
462,100.0,0.636,128.53,0.6
466,100.0,0.121,220.3,0.6
467,100.0,0.259,166.83,0.5
468,100.0,0.774,140.0,0.7
469,100.0,0.268,140.0,0.5
470,100.0,0.273,166.83,0.5
471,100.0,0.252,140.0,0.4
472,100.0,0.573,166.83,0.7
473,100.0,0.61,140.0,0.6
474,100.0,0.273,166.83,0.5
475,100.0,0.479,140.0,0.6
476,100.0,0.185,166.83,0.5
477,100.0,0.241,166.83,0.5
478,100.0,0.53,140.0,0.6
480,100.0,0.273,166.83,0.5
481,100.0,0.284,140.0,0.5
482,100.0,0.252,140.0,0.4
483,100.0,0.273,166.83,0.5
484,100.0,0.428,140.0,0.5
485,100.0,0.273,166.83,0.5
486,100.0,0.265,140.0,0.5
487,100.0,0.261,166.83,0.5
488,100.0,0.268,140.0,0.5
489,100.0,0.261,166.83,0.5
490,100.0,0.437,166.83,0.6
491,100.0,0.219,140.0,0.4
492,100.0,0.117,220.3,0.6
493,100.0,0.251,166.83,0.5
494,100.0,0.479,140.0,0.6
495,100.0,0.265,140.0,0.5
496,100.0,0.273,166.83,0.5
497,100.0,0.265,140.0,0.5
498,100.0,0.286,166.83,0.5
499,100.0,0.268,140.0,0.5
500,100.0,0.259,166.83,0.5
501,100.0,0.252,140.0,0.4
502,100.0,0.472,166.83,0.6
503,100.0,0.523,166.83,0.6
504,100.0,0.265,140.0,0.5
505,100.0,0.126,220.3,0.6
506,100.0,0.523,166.83,0.6
507,100.0,0.592,140.0,0.6
508,100.0,0.252,140.0,0.4
509,100.0,0.273,166.83,0.5
510,100.0,0.252,140.0,0.4
511,100.0,0.359,166.83,0.6
512,100.0,0.252,140.0,0.4
513,100.0,0.251,166.83,0.5
514,100.0,0.252,140.0,0.4
515,100.0,0.273,166.83,0.5
516,100.0,0.259,166.83,0.5
517,100.0,0.32,140.0,0.5
519,100.0,0.286,166.83,0.5
520,100.0,0.301,140.0,0.5
521,100.0,0.403,140.0,0.5
522,100.0,0.251,166.83,0.5
523,100.0,0.273,166.83,0.5
524,100.0,0.268,140.0,0.5
525,100.0,0.523,166.83,0.6
526,100.0,0.479,140.0,0.6
527,100.0,0.592,140.0,0.6
528,100.0,0.241,166.83,0.5
529,100.0,0.304,166.83,0.5
530,100.0,0.573,166.83,0.7
531,100.0,0.255,140.0,0.4
533,100.0,0.273,166.83,0.5
534,100.0,0.592,140.0,0.6
535,100.0,0.805,140.0,0.7
536,100.0,0.273,166.83,0.5
537,100.0,0.268,140.0,0.5
538,100.0,0.273,166.83,0.5
539,100.0,0.265,140.0,0.5
540,100.0,0.241,166.83,0.5
541,100.0,0.544,140.0,0.6
542,100.0,0.301,166.83,0.5
543,100.0,0.273,166.83,0.5
544,100.0,0.252,140.0,0.4
545,100.0,0.118,220.3,0.6
546,100.0,0.523,166.83,0.6
547,100.0,0.252,140.0,0.4
548,100.0,0.229,140.0,0.4
549,100.0,0.265,140.0,0.5
550,100.0,0.829,166.83,0.8
551,100.0,0.255,140.0,0.4
552,100.0,0.472,166.83,0.6
553,100.0,0.479,140.0,0.6
554,100.0,0.206,166.83,0.5
555,100.0,0.523,166.83,0.6
556,100.0,0.265,140.0,0.5
557,100.0,0.118,220.3,0.6
558,100.0,0.573,166.83,0.7
559,100.0,0.694,140.0,0.7
560,100.0,0.395,140.0,0.5
561,100.0,0.523,166.83,0.6
562,100.0,0.341,140.0,0.5
563,100.0,0.259,166.83,0.5
564,100.0,0.201,140.0,0.4
565,100.0,0.261,166.83,0.5
566,100.0,0.252,140.0,0.4
567,100.0,0.273,166.83,0.5
568,100.0,0.707,166.83,0.7
569,100.0,0.241,155.32,0.5
570,100.0,0.658,155.32,0.7
571,100.0,0.341,140.0,0.5
573,100.0,0.438,140.0,0.5
574,100.0,0.261,166.83,0.5
575,100.0,0.248,166.83,0.5
576,100.0,0.592,140.0,0.6
577,100.0,0.265,140.0,0.5
578,100.0,0.481,166.83,0.6
579,100.0,0.268,140.0,0.5
580,100.0,0.273,166.83,0.5
581,100.0,0.268,140.0,0.5
582,100.0,0.523,166.83,0.6
583,100.0,0.265,140.0,0.5
585,100.0,0.802,166.83,0.8
586,100.0,0.479,140.0,0.6
587,100.0,0.252,140.0,0.4
588,100.0,0.339,166.83,0.5
589,100.0,0.255,140.0,0.4
590,100.0,0.512,166.83,0.6
591,100.0,0.255,140.0,0.4
592,100.0,0.481,166.83,0.6
593,100.0,0.255,140.0,0.4
594,100.0,0.273,166.83,0.5
595,100.0,0.261,166.83,0.5
596,100.0,0.296,140.0,0.5
597,100.0,0.126,220.3,0.6
598,100.0,0.694,140.0,0.7
599,100.0,0.221,166.83,0.5
600,100.0,0.265,140.0,0.5
601,100.0,0.191,166.83,0.5
602,100.0,0.252,140.0,0.4
603,100.0,0.261,166.83,0.5
604,100.0,0.252,140.0,0.4
605,100.0,0.339,166.83,0.5
606,100.0,0.694,140.0,0.7
607,100.0,0.273,166.83,0.5
608,100.0,0.273,166.83,0.5
609,100.0,0.255,140.0,0.4
610,100.0,0.131,220.3,0.6
611,100.0,0.259,166.83,0.5
612,100.0,0.671,140.0,0.6
613,100.0,0.268,140.0,0.5
614,100.0,0.512,166.83,0.6
615,100.0,0.268,140.0,0.5
616,100.0,0.523,166.83,0.6
617,100.0,0.265,140.0,0.5
618,100.0,0.273,166.83,0.5
619,100.0,0.268,140.0,0.5
620,100.0,0.273,166.83,0.5
621,100.0,0.523,166.83,0.6
622,100.0,0.273,166.83,0.5
623,100.0,0.252,140.0,0.4
625,100.0,0.286,166.83,0.5
626,100.0,0.805,140.0,0.7
627,100.0,0.243,140.0,0.4
628,100.0,0.273,166.83,0.5
629,100.0,0.252,140.0,0.4
630,100.0,0.259,166.83,0.5
631,100.0,0.268,140.0,0.5
632,100.0,0.229,166.83,0.5
633,100.0,0.268,140.0,0.5
634,100.0,0.512,166.83,0.6
635,100.0,0.273,166.83,0.5
636,100.0,0.265,140.0,0.5
638,100.0,0.321,166.83,0.5
639,100.0,0.592,140.0,0.6
640,100.0,0.366,140.0,0.5
641,100.0,0.273,166.83,0.5
642,100.0,0.255,140.0,0.4
643,100.0,0.255,140.0,0.4
645,100.0,0.255,140.0,0.4
646,100.0,0.273,166.83,0.5
647,100.0,0.261,166.83,0.5
648,100.0,0.265,140.0,0.5
650,100.0,0.229,166.83,0.5
652,100.0,0.347,140.0,0.5
653,100.0,0.24,140.0,0.4
654,100.0,0.273,166.83,0.5
655,100.0,0.592,140.0,0.6
656,100.0,0.265,140.0,0.5
657,100.0,0.091,166.83,0.4
658,100.0,0.273,166.83,0.5
659,100.0,0.265,140.0,0.5
660,100.0,0.128,220.3,0.6
661,100.0,0.53,140.0,0.6
662,100.0,0.261,166.83,0.5
663,100.0,0.694,140.0,0.7
664,100.0,0.273,166.83,0.5
665,100.0,0.445,166.83,0.6
666,100.0,0.592,140.0,0.6
667,100.0,0.265,140.0,0.5
668,100.0,0.261,166.83,0.5
669,100.0,0.53,140.0,0.6
670,100.0,0.259,166.83,0.5
671,100.0,0.261,166.83,0.5
672,100.0,0.208,140.0,0.4
674,100.0,0.438,140.0,0.5
675,100.0,0.225,151.49,0.5
676,100.0,0.265,140.0,0.5
677,100.0,0.124,220.3,0.6
678,100.0,0.265,140.0,0.5
679,100.0,0.261,166.83,0.5
680,100.0,0.286,166.83,0.5
681,100.0,0.268,140.0,0.5
682,100.0,0.438,140.0,0.5
683,100.0,0.474,151.49,0.6
684,100.0,0.341,140.0,0.5
685,100.0,0.261,166.83,0.5
686,100.0,0.261,166.83,0.5
687,100.0,0.805,140.0,0.7
688,100.0,0.53,140.0,0.6
689,100.0,0.259,166.83,0.5
690,100.0,0.428,140.0,0.5
691,100.0,0.074,159.11,0.4
692,100.0,0.325,140.0,0.5
694,100.0,0.208,140.0,0.4
695,100.0,0.227,151.49,0.5
696,100.0,0.252,140.0,0.4
698,100.0,0.479,140.0,0.6
699,100.0,0.259,166.83,0.5
700,100.0,0.252,140.0,0.4
701,100.0,0.829,166.83,0.8
702,100.0,0.165,140.0,0.4
703,100.0,0.259,166.83,0.5
704,100.0,0.146,140.0,0.4
705,100.0,0.573,166.83,0.7
706,100.0,0.261,166.83,0.5
707,100.0,0.192,140.0,0.4
708,100.0,0.221,166.83,0.5
709,100.0,0.261,166.83,0.5
710,100.0,0.268,140.0,0.5
712,100.0,0.265,140.0,0.5
713,100.0,0.523,166.83,0.6
714,100.0,0.265,140.0,0.5
715,100.0,0.273,166.83,0.5
716,100.0,0.268,140.0,0.5
717,100.0,0.248,166.83,0.5
718,100.0,0.24,140.0,0.4
719,100.0,0.261,166.83,0.5
720,100.0,0.268,140.0,0.5
721,100.0,0.382,166.83,0.6
722,100.0,0.261,166.83,0.5
723,100.0,0.491,140.0,0.6
725,100.0,0.53,140.0,0.6
726,100.0,0.231,166.83,0.5
727,100.0,0.366,140.0,0.5
728,100.0,0.273,166.83,0.5
729,100.0,0.265,140.0,0.5
730,100.0,0.259,166.83,0.5
731,100.0,0.286,166.83,0.5
732,100.0,0.479,140.0,0.6
733,100.0,0.284,140.0,0.5
734,100.0,0.65,166.83,0.7
735,100.0,0.261,166.83,0.5
736,100.0,0.268,140.0,0.5
737,100.0,0.126,220.3,0.6
738,100.0,0.261,166.83,0.5
739,100.0,0.805,140.0,0.7
740,100.0,0.265,140.0,0.5
741,100.0,0.27,166.83,0.5
742,100.0,0.252,140.0,0.4
743,100.0,0.286,166.83,0.5
744,100.0,0.265,140.0,0.5
746,100.0,0.544,140.0,0.6
747,100.0,0.185,166.83,0.5
748,100.0,0.259,166.83,0.5
749,100.0,0.265,140.0,0.5
750,100.0,0.123,220.3,0.6
751,100.0,0.251,166.83,0.5
752,100.0,0.592,140.0,0.6
753,100.0,0.252,140.0,0.4
754,100.0,0.204,166.83,0.5
755,100.0,0.268,140.0,0.5
756,100.0,0.229,166.83,0.5
757,100.0,0.265,140.0,0.5
758,100.0,0.273,166.83,0.5
759,100.0,0.252,140.0,0.4
760,100.0,0.259,166.83,0.5
761,100.0,0.523,166.83,0.6
762,100.0,0.265,140.0,0.5
764,100.0,0.231,166.73,0.5
765,100.0,0.592,139.89,0.6
766,100.0,0.255,140.0,0.4
767,100.0,0.523,166.83,0.6
769,100.0,0.437,166.83,0.6
770,100.0,0.252,140.0,0.4
771,100.0,0.382,166.83,0.6
772,100.0,0.479,140.0,0.6
773,100.0,0.259,166.83,0.5
774,100.0,0.273,166.83,0.5
775,100.0,0.366,140.0,0.5
777,100.0,0.472,166.83,0.6
778,100.0,0.479,140.08,0.6
779,100.0,0.265,140.08,0.5
780,100.0,0.273,166.69,0.5
781,100.0,0.252,139.83,0.4
782,100.0,0.259,166.76,0.5
783,100.0,0.252,139.92,0.4
784,100.0,0.273,166.71,0.5
785,100.0,0.255,139.86,0.4
786,100.0,0.445,166.73,0.6
787,100.0,0.273,166.73,0.5
788,100.0,0.252,140.33,0.4
790,100.0,0.408,166.66,0.6
791,100.0,0.366,139.81,0.5
792,100.0,0.155,140.08,0.4
793,100.0,0.472,166.9,0.6
794,100.0,0.229,139.89,0.4
795,100.0,0.286,166.73,0.5
796,100.0,0.265,140.0,0.5
797,100.0,0.259,166.83,0.5
798,100.0,0.479,140.08,0.6
799,100.0,0.273,166.9,0.5
800,100.0,0.273,166.73,0.5
801,100.0,0.273,166.73,0.5
802,100.0,0.192,140.0,0.4
803,100.0,0.436,151.49,0.6
804,100.0,0.208,140.0,0.4
805,100.0,0.59,151.49,0.6
806,100.0,0.268,140.0,0.5
807,100.0,0.128,220.3,0.6
808,100.0,0.544,140.0,0.6
809,100.0,0.259,166.83,0.5
810,100.0,0.255,140.0,0.4
811,100.0,0.259,166.83,0.5
812,100.0,0.268,140.47,0.5
813,100.0,0.382,167.22,0.6
814,100.0,0.415,167.13,0.6
815,100.0,0.479,140.36,0.6
816,100.0,0.805,140.08,0.7
817,100.0,0.273,166.9,0.5
818,100.0,0.408,166.73,0.6
819,100.0,0.219,139.89,0.4
821,100.0,0.219,140.0,0.4
822,100.0,0.436,151.49,0.6
823,100.0,0.219,140.0,0.4
824,100.0,0.248,151.49,0.5
825,100.0,0.252,140.0,0.4
826,100.0,0.119,220.3,0.6
827,100.0,0.268,140.0,0.5
828,100.0,0.261,166.66,0.5
829,100.0,0.252,139.81,0.4
830,100.0,0.27,166.73,0.5
831,100.0,0.479,139.89,0.6
